team_id,name,short_name,slug,name_code,url,leagues,seasons
2693,Fiorentina,Fiorentina,fiorentina,FIO,https://www.sofascore.com/football/team/fiorentina/2693,Serie A,"22/23, 23/24, 24/25, 25/26"
2588,Fortuna Düsseldorf,Fortuna,fortuna-dusseldorf,F95,https://www.sofascore.com/football/team/fortuna-dusseldorf/2588,Bundesliga,23/24
2801,Frosinone,Frosinone,frosinone,FRO,https://www.sofascore.com/football/team/frosinone/2801,Serie A,23/24
43,Fulham,Fulham,fulham,FUL,https://www.sofascore.com/football/team/fulham/43,EPL,"22/23, 23/24, 24/25, 25/26"
2713,Genoa,Genoa,genoa,GEN,https://www.sofascore.com/football/team/genoa/2713,Serie A,"23/24, 24/25, 25/26"
2859,Getafe,Getafe,getafe,GET,https://www.sofascore.com/football/team/getafe/2859,La Liga,"22/23, 23/24, 24/25, 25/26"
24264,Girona FC,Girona,girona-fc,GIR,https://www.sofascore.com/football/team/girona-fc/24264,La Liga,"22/23, 23/24, 24/25, 25/26"
33779,Granada,Granada,granada,GCF,https://www.sofascore.com/football/team/granada/33779,La Liga,23/24
1654,Guingamp,Guingamp,guingamp,EAG,https://www.sofascore.com/football/team/guingamp/1654,Ligue 1,24/25
2676,Hamburger SV,HSV,hamburger-sv,HSV,https://www.sofascore.com/football/team/hamburger-sv/2676,Bundesliga,"22/23, 25/26"
2701,Hellas Verona,Verona,hellas-verona,VER,https://www.sofascore.com/football/team/hellas-verona/2701,Serie A,"22/23, 23/24, 24/25, 25/26"
2528,Hertha BSC,Hertha,hertha-bsc,BSC,https://www.sofascore.com/football/team/hertha-bsc/2528,Bundesliga,22/23
2573,Holstein Kiel,Kiel,holstein-kiel,HOK,https://www.sofascore.com/football/team/holstein-kiel/2573,Bundesliga,24/25
2697,Inter,Inter,inter,INT,https://www.sofascore.com/football/team/inter/2697,Serie A,"22/23, 23/24, 24/25, 25/26"
32,Ipswich Town,Ipswich,ipswich-town,IPS,https://www.sofascore.com/football/team/ipswich-town/32,EPL,24/25
2687,Juventus,Juventus,juventus,JUV,https://www.sofascore.com/football/team/juventus/2687,Serie A,"22/23, 23/24, 24/25, 25/26"
6577,Las Palmas,Las Palmas,las-palmas,LPA,https://www.sofascore.com/football/team/las-palmas/6577,La Liga,"23/24, 24/25"
2699,Lazio,Lazio,lazio,LAZ,https://www.sofascore.com/football/team/lazio/2699,Serie A,"22/23, 23/24, 24/25, 25/26"
1662,Le Havre,Le Havre,le-havre,HAC,https://www.sofascore.com/football/team/le-havre/1662,Ligue 1,"23/24, 24/25, 25/26"
2689,Lecce,Lecce,lecce,LEC,https://www.sofascore.com/football/team/lecce/2689,Serie A,"22/23, 23/24, 24/25, 25/26"
